Timestamp(s)	Sensor 1 Value (raw)	Sensor 2 Value (raw)	Sensor 3 Value (raw)	Sensor 4 Value (raw)	Sensor 5 Value (raw)	Volume (mL)	Grams
2025-01-20 09:36:03	0.0	0.0	0.0	0.0	0.0	6.2	0.0
2025-01-20 09:36:13	0.0	0.0	0.0	0.0	0.0	6.2	0.0
2025-01-20 09:36:18	0.0	0.0	0.0	0.0	115.0	6.2	0.0
2025-01-20 09:36:23	0.0	0.0	0.0	0.0	191.0	6.2	0.0
2025-01-20 09:36:28	0.0	0.0	0.0	0.0	191.0	6.2	0.0
2025-01-20 09:36:33	0.0	0.0	0.0	0.0	191.0	6.2	0.0
2025-01-20 09:36:38	0.0	0.0	0.0	0.0	191.0	6.2	0.0
2025-01-20 09:36:43	0.0	0.0	0.0	0.0	191.0	6.2	0.0
2025-01-20 09:36:48	0.0	0.0	0.0	0.0	191.0	6.2	0.0
2025-01-20 09:36:53	0.0	0.0	0.0	0.0	191.0	6.2	0.0
2025-01-20 09:36:58	0.0	0.0	0.0	0.0	191.0	6.2	0.0
2025-01-20 09:37:03	0.0	0.0	0.0	0.0	191.0	6.2	0.0
2025-01-20 09:37:13	0.0	0.0	0.0	0.0	191.0	6.2	0.0
2025-01-20 09:37:18	0.0	0.0	0.0	0.0	191.0	6.2	0.0
2025-01-20 09:37:23	0.0	0.0	0.0	0.0	191.0	6.2	0.0
2025-01-20 09:37:28	0.0	0.0	0.0	0.0	0.0	6.2	0.0
2025-01-20 09:37:33	0.0	0.0	194.0	0.0	0.0	6.2	0.0
2025-01-20 09:37:38	0.0	0.0	194.0	0.0	0.0	6.2	0.0
2025-01-20 09:37:43	0.0	0.0	194.0	0.0	0.0	6.2	0.0
2025-01-20 09:37:48	0.0	0.0	194.0	0.0	0.0	6.2	0.0
2025-01-20 09:37:53	0.0	0.0	194.0	0.0	0.0	6.2	0.0
2025-01-20 09:37:58	0.0	0.0	194.0	0.0	0.0	6.2	0.0
2025-01-20 09:38:03	0.0	0.0	194.0	0.0	0.0	6.2	0.0
2025-01-20 09:38:08	0.0	0.0	194.0	0.0	0.0	6.2	0.0
2025-01-20 09:38:18	0.0	0.0	194.0	0.0	0.0	6.2	0.0
2025-01-20 09:38:23	0.0	0.0	194.0	0.0	0.0	6.2	0.0
2025-01-20 09:38:28	0.0	0.0	194.0	0.0	0.0	6.2	0.0
2025-01-20 09:38:33	0.0	0.0	194.0	0.0	0.0	6.2	0.0
2025-01-20 09:38:38	0.0	0.0	194.0	0.0	0.0	6.2	0.0
2025-01-20 09:38:43	0.0	0.0	194.0	0.0	0.0	6.2	0.0
2025-01-20 09:38:48	0.0	0.0	194.0	0.0	0.0	6.2	0.0
2025-01-20 09:38:53	0.0	0.0	194.0	0.0	0.0	6.2	0.0
2025-01-20 09:38:58	0.0	0.0	194.0	0.0	0.0	6.2	0.0
2025-01-20 09:39:03	0.0	0.0	194.0	0.0	0.0	6.2	0.0
2025-01-20 09:39:08	0.0	0.0	194.0	0.0	0.0	6.2	0.0
2025-01-20 09:39:18	0.0	0.0	194.0	0.0	0.0	6.2	0.0
2025-01-20 09:39:23	0.0	0.0	194.0	0.0	0.0	6.2	0.0
2025-01-20 09:39:28	0.0	0.0	194.0	0.0	0.0	6.2	0.0
2025-01-20 09:39:33	0.0	0.0	194.0	0.0	0.0	6.2	0.0
2025-01-20 09:39:38	0.0	0.0	194.0	0.0	0.0	6.2	0.0
2025-01-20 09:39:43	0.0	0.0	194.0	0.0	0.0	6.2	0.0
2025-01-20 09:39:48	0.0	0.0	194.0	0.0	0.0	6.2	0.0
2025-01-20 09:39:53	0.0	0.0	194.0	0.0	0.0	6.2	0.0
2025-01-20 09:39:58	0.0	0.0	194.0	0.0	0.0	6.2	0.0
2025-01-20 09:40:03	0.0	0.0	194.0	0.0	0.0	6.2	0.0
2025-01-20 09:40:08	0.0	0.0	194.0	0.0	0.0	6.2	0.0
2025-01-20 09:40:13	0.0	0.0	189.0	0.0	0.0	6.2	0.0
2025-01-20 09:40:18	172.0	0.0	0.0	0.0	0.0	945.8	939.6
2025-01-20 09:40:28	196.0	0.0	0.0	0.0	0.0	1076.9	1070.8
2025-01-20 09:40:33	200.0	0.0	0.0	0.0	0.0	1098.8	1092.6
2025-01-20 09:40:38	196.0	0.0	0.0	0.0	0.0	1076.9	1070.8
2025-01-20 09:40:43	196.0	0.0	0.0	0.0	0.0	1076.9	1070.8
2025-01-20 09:40:48	196.0	0.0	0.0	0.0	0.0	1076.9	1070.8
2025-01-20 09:40:53	196.0	0.0	0.0	0.0	0.0	1076.9	1070.8
2025-01-20 09:40:58	196.0	0.0	0.0	0.0	0.0	1076.9	1070.8
2025-01-20 09:41:03	196.0	0.0	0.0	0.0	0.0	1076.9	1070.8
2025-01-20 09:41:08	206.0	0.0	0.0	0.0	0.0	1131.6	1125.4
2025-01-20 09:41:13	209.0	0.0	0.0	0.0	0.0	1147.9	1141.8
2025-01-20 09:41:18	196.0	0.0	0.0	0.0	0.0	1076.9	1070.8
2025-01-20 09:41:28	196.0	0.0	0.0	0.0	0.0	1076.9	1070.8
2025-01-20 09:41:33	196.0	0.0	0.0	0.0	0.0	1076.9	1070.8
2025-01-20 09:41:38	196.0	0.0	0.0	0.0	0.0	1076.9	1070.8
2025-01-20 09:41:43	196.0	0.0	0.0	0.0	0.0	1076.9	1070.8
2025-01-20 09:41:48	196.0	0.0	0.0	0.0	0.0	1076.9	1070.8
2025-01-20 09:41:53	196.0	0.0	0.0	0.0	0.0	1076.9	1070.8
2025-01-20 09:41:58	196.0	0.0	0.0	0.0	0.0	1076.9	1070.8
